Min (MHz),Max (MHz),Primary Allocations UPPER (1),Primary Allocations UPPER (2),Primary Allocations UPPER (3),Primary Allocations UPPER (4),Primary Allocations UPPER (5),Primary Allocations UPPER (6),Primary Allocations UPPER (7),Primary Allocations UPPER (8)
2700,2900,AERONAUTICAL RADIONAVIGATION,,,,,,,
2900,3100,RADIOLOCATION,RADIONAVIGATION,,,,,,
3100,3300,RADIOLOCATION,,,,,,,
3300,3400,MOBILE,FIXED,RADIOLOCATION,,,,,
3400,3600,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
3600,4200,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),,,,,,
4200,4400,AERONAUTICAL MOBILE (R),AERONAUTICAL RADIONAVIGATION,,,,,,
4400,4500,FIXED,MOBILE,,,,,,
4500,4800,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,,
4800,4990,FIXED,MOBILE,,,,,,
5000,5010,AERONAUTICAL MOBILE-SATELLITE (R),AERONAUTICAL RADIONAVIGATION,RADIONAVIGATION-SATELLITE (EARTH-TO-SPACE),,,,,
5010,5030,AERONAUTICAL MOBILE-SATELLITE (R),AERONAUTICAL RADIONAVIGATION,RADIONAVIGATION-SATELLITE (SPACE-TO-EARTH),RADIONAVIGATION-SATELLITE (SPACE-TO-SPACE),,,,
5030,5091,AERONAUTICAL MOBILE (R),AERONAUTICAL MOBILE-SATELLITE (R),AERONAUTICAL RADIONAVIGATION,,,,,
5091,5150,FIXED-SATELLITE (EARTH-TO-SPACE),AERONAUTICAL MOBILE,AERONAUTICAL MOBILE-SATELLITE (R),AERONAUTICAL RADIONAVIGATION,,,,
5150,5250,FIXED-SATELLITE (EARTH-TO-SPACE),AERONAUTICAL RADIONAVIGATION,MOBILE,,,,,
5250,5255,EARTH EXPLORATION-SATELLITE (ACTIVE),MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION,SPACE RESEARCH,,,,
5255,5350,EARTH EXPLORATION-SATELLITE (ACTIVE),MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION,SPACE RESEARCH (ACTIVE),,,,
5350,5460,EARTH EXPLORATION-SATELLITE (ACTIVE),RADIOLOCATION,AERONAUTICAL RADIONAVIGATION,SPACE RESEARCH (ACTIVE),,,,
5460,5470,EARTH EXPLORATION-SATELLITE (ACTIVE),RADIOLOCATION,RADIONAVIGATION,SPACE RESEARCH (ACTIVE),,,,
5470,5570,EARTH EXPLORATION-SATELLITE (ACTIVE),MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION,MARITIME RADIONAVIGATION,SPACE RESEARCH (ACTIVE),,,
5570,5650,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION,MARITIME RADIONAVIGATION,,,,,
5650,5725,FIXED,MOBILE,RADIOLOCATION,,,,,
5725,5830,FIXED-SATELLITE (EARTH-TO-SPACE),RADIOLOCATION,FIXED,MOBILE,,,,
5830,5850,FIXED-SATELLITE (EARTH-TO-SPACE),RADIOLOCATION,FIXED,MOBILE,,,,
5850,5925,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
5925,6700,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
6700,7075,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,
7075,7145,FIXED,MOBILE,,,,,,
7145,7190,FIXED,MOBILE,SPACE RESEARCH (DEEP SPACE),SPACE RESEARCH (EARTH-TO-SPACE),,,,
7190,7235,EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE),FIXED,MOBILE,SPACE RESEARCH (EARTH-TO-SPACE),,,,
7235,7250,EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE),FIXED,MOBILE,,,,,
7250,7300,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,,
7300,7375,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
7375,7450,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,MARITIME MOBILE-SATELLITE (SPACE-TO-EARTH),,,,
7450,7550,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,MARITIME MOBILE-SATELLITE (SPACE-TO-EARTH),,,
7550,7750,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,MARITIME MOBILE-SATELLITE (SPACE-TO-EARTH),,,,
7750,7900,FIXED,METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
7900,8025,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
8025,8175,EARTH EXPLORATION-SATELLITE (SPACE-TO-EARTH),FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,
8175,8215,EARTH EXPLORATION-SATELLITE (SPACE-TO-EARTH),FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),METEOROLOGICAL-SATELLITE (EARTH-TO-SPACE),MOBILE,,,
8215,8400,EARTH EXPLORATION-SATELLITE (SPACE-TO-EARTH),FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,
8400,8500,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,SPACE RESEARCH (SPACE-TO-EARTH),,,,,
8500,8550,FIXED,MOBILE,RADIOLOCATION,,,,,
8550,8650,FIXED,MOBILE,EARTH EXPLORATION-SATELLITE (ACTIVE),RADIOLOCATION,SPACE RESEARCH (ACTIVE),,,
8650,8750,FIXED,MOBILE,RADIOLOCATION,,,,,
8750,8825,RADIOLOCATION,AERONAUTICAL RADIONAVIGATION,,,,,,
8825,8850,MARITIME RADIONAVIGATION,RADIOLOCATION,AERONAUTICAL RADIONAVIGATION,,,,,
8850,9000,RADIOLOCATION,MARITIME RADIONAVIGATION,,,,,,
9000,9200,RADIOLOCATION,AERONAUTICAL RADIONAVIGATION,MARITIME RADIONAVIGATION,,,,,
9200,9300,EARTH EXPLORATION-SATELLITE (ACTIVE),RADIOLOCATION,MARITIME RADIONAVIGATION,,,,,
9300,9500,EARTH EXPLORATION-SATELLITE (ACTIVE),RADIOLOCATION,RADIONAVIGATION,SPACE RESEARCH (ACTIVE),,,,
9500,9800,EARTH EXPLORATION-SATELLITE (ACTIVE),RADIOLOCATION,RADIONAVIGATION,SPACE RESEARCH (ACTIVE),,,,
9800,9900,FIXED,RADIOLOCATION,,,,,,
9900,10000,FIXED,EARTH EXPLORATION-SATELLITE (ACTIVE),RADIOLOCATION,,,,,
10000,10400,EARTH EXPLORATION-SATELLITE (ACTIVE),FIXED,MOBILE,RADIOLOCATION,,,,
10400,10450,FIXED,MOBILE,RADIOLOCATION,,,,,
10450,10500,FIXED,MOBILE,RADIOLOCATION,,,,,
10500,10550,FIXED,MOBILE,,,,,,
10550,10600,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
10600,10680,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,
10680,10700,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,
10700,10950,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,
10950,11200,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,
11200,11450,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,
11450,11700,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,
11700,12500,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,BROADCASTING,BROADCASTING-SATELLITE,,,,
12500,12750,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,
12750,13250,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,SPACE RESEARCH (DEEP SPACE),SPACE RESEARCH (SPACE-TO-EARTH),,,
13250,13400,EARTH EXPLORATION-SATELLITE (ACTIVE),AERONAUTICAL RADIONAVIGATION,SPACE RESEARCH (ACTIVE),,,,,
13400,13650,FIXED,MOBILE,EARTH EXPLORATION-SATELLITE (ACTIVE),FIXED-SATELLITE (SPACE-TO-EARTH),RADIOLOCATION,SPACE RESEARCH,,
13650,13750,FIXED,MOBILE,EARTH EXPLORATION-SATELLITE (ACTIVE),RADIOLOCATION,SPACE RESEARCH,,,
13750,14000,FIXED,MOBILE,FIXED-SATELLITE (EARTH-TO-SPACE),RADIOLOCATION,,,,
14000,14250,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),RADIONAVIGATION,,,,,
14250,14300,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),RADIONAVIGATION,,,,,
14300,14400,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
14400,14470,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
14470,14500,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
14500,14750,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
14750,14800,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
14800,15350,FIXED,MOBILE,,,,,,
15350,15400,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
15400,15430,RADIOLOCATION,AERONAUTICAL RADIONAVIGATION,,,,,,
15430,15630,FIXED-SATELLITE (EARTH-TO-SPACE),RADIOLOCATION,AERONAUTICAL RADIONAVIGATION,,,,,
15630,15700,RADIOLOCATION,AERONAUTICAL RADIONAVIGATION,,,,,,
15700,16600,FIXED,MOBILE,RADIOLOCATION,,,,,
16600,17100,FIXED,MOBILE,RADIOLOCATION,,,,,
17100,17200,FIXED,MOBILE,RADIOLOCATION,,,,,
17200,17300,FIXED,MOBILE,EARTH EXPLORATION-SATELLITE (ACTIVE),RADIOLOCATION,SPACE RESEARCH (ACTIVE),,,
17300,17700,FIXED-SATELLITE (EARTH-TO-SPACE),FIXED-SATELLITE (SPACE-TO-EARTH),,,,,,
17700,18100,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,
18100,18400,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,
18400,18600,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,,
18600,18800,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,
18800,19300,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,,
19300,19700,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,
19700,20100,FIXED-SATELLITE (SPACE-TO-EARTH),FIXED,MOBILE,,,,,
20100,20200,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,
20200,21200,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,
21200,21400,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,MOBILE,SPACE RESEARCH (PASSIVE),,,,
21400,22000,FIXED,MOBILE,BROADCASTING-SATELLITE,,,,,
22000,22210,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
22210,22500,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,
22500,22550,FIXED,MOBILE,,,,,,
22550,23150,FIXED,INTER-SATELLITE,MOBILE,SPACE RESEARCH (EARTH-TO-SPACE),,,,
23150,23550,FIXED,INTER-SATELLITE,MOBILE,,,,,
23550,23600,FIXED,MOBILE,,,,,,
23600,24000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
24000,24050,AMATEUR,AMATEUR-SATELLITE,,,,,,
24050,24250,RADIOLOCATION,,,,,,,
24250,24450,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
24450,24650,FIXED,INTER-SATELLITE,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
24650,24750,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),INTER-SATELLITE,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,
24750,25250,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
25250,25500,FIXED,INTER-SATELLITE,MOBILE,,,,,
25500,27000,EARTH EXPLORATION-SATELLITE (SPACE-TO-EARTH),FIXED,INTER-SATELLITE,MOBILE,SPACE RESEARCH (SPACE-TO-EARTH),,,
27000,27500,FIXED,INTER-SATELLITE,MOBILE,,,,,
27500,28500,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
28500,29100,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
29100,29500,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
29500,29900,FIXED-SATELLITE (EARTH-TO-SPACE),,,,,,,
29900,30000,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,
30000,31000,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE-SATELLITE (EARTH-TO-SPACE),,,,,,
31000,31300,FIXED,MOBILE,,,,,,
31300,31500,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
31500,31800,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,
31800,32000,FIXED,RADIONAVIGATION,SPACE RESEARCH (DEEP SPACE),SPACE RESEARCH (SPACE-TO-EARTH),,,,
32000,32300,FIXED,RADIONAVIGATION,SPACE RESEARCH (DEEP SPACE),SPACE RESEARCH (SPACE-TO-EARTH),,,,
32300,33000,FIXED,INTER-SATELLITE,RADIONAVIGATION,,,,,
33000,33400,FIXED,RADIONAVIGATION,,,,,,
33400,34200,FIXED,MOBILE,RADIOLOCATION,,,,,
34200,34700,FIXED,MOBILE,RADIOLOCATION,SPACE RESEARCH (DEEP SPACE),SPACE RESEARCH (EARTH-TO-SPACE),,,
34700,35200,FIXED,MOBILE,RADIOLOCATION,,,,,
35200,35500,FIXED,MOBILE,METEOROLOGICAL AIDS,RADIOLOCATION,,,,
35500,36000,FIXED,MOBILE,METEOROLOGICAL AIDS,EARTH EXPLORATION-SATELLITE (ACTIVE),RADIOLOCATION,SPACE RESEARCH (ACTIVE),,
36000,37000,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,MOBILE,SPACE RESEARCH (PASSIVE),,,,
37000,37500,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,SPACE RESEARCH (SPACE-TO-EARTH),,,,,
37500,38000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE EXCEPT AERONAUTICAL MOBILE,SPACE RESEARCH (SPACE-TO-EARTH),,,,
38000,39500,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,,
39500,40000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,
40000,40500,EARTH EXPLORATION-SATELLITE (EARTH-TO-SPACE),FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),SPACE RESEARCH (EARTH-TO-SPACE),,
40500,41000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),LAND MOBILE,BROADCASTING,BROADCASTING-SATELLITE,,,
41000,42500,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),LAND MOBILE,BROADCASTING,BROADCASTING-SATELLITE,,,
42500,43500,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE EXCEPT AERONAUTICAL MOBILE,RADIO ASTRONOMY,,,,
43500,47000,MOBILE,MOBILE-SATELLITE,RADIONAVIGATION,RADIONAVIGATION-SATELLITE,,,,
47000,47200,AMATEUR,AMATEUR-SATELLITE,,,,,,
47200,47500,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
47500,47900,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,
47900,48200,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
48200,48540,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,
48540,49440,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
49440,50200,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,
50200,50400,EARTH EXPLORATION-SATELLITE (PASSIVE),SPACE RESEARCH (PASSIVE),,,,,,
50400,51400,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
51400,52400,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,,,,,
52400,52600,FIXED,MOBILE,,,,,,
52600,54250,EARTH EXPLORATION-SATELLITE (PASSIVE),SPACE RESEARCH (PASSIVE),,,,,,
54250,55780,EARTH EXPLORATION-SATELLITE (PASSIVE),INTER-SATELLITE,SPACE RESEARCH (PASSIVE),,,,,
55780,56900,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,INTER-SATELLITE,MOBILE,SPACE RESEARCH (PASSIVE),,,
56900,57000,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,INTER-SATELLITE,MOBILE,SPACE RESEARCH (PASSIVE),,,
57000,58200,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,INTER-SATELLITE,MOBILE,SPACE RESEARCH (PASSIVE),,,
58200,59000,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,MOBILE,SPACE RESEARCH (PASSIVE),,,,
59000,59300,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED,INTER-SATELLITE,MOBILE,RADIOLOCATION,SPACE RESEARCH (PASSIVE),,
59300,64000,FIXED,INTER-SATELLITE,MOBILE,RADIOLOCATION,,,,
64000,65000,FIXED,INTER-SATELLITE,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
65000,66000,EARTH EXPLORATION-SATELLITE,FIXED,INTER-SATELLITE,MOBILE EXCEPT AERONAUTICAL MOBILE,SPACE RESEARCH,,,
66000,71000,INTER-SATELLITE,MOBILE,MOBILE-SATELLITE,RADIONAVIGATION,RADIONAVIGATION-SATELLITE,,,
71000,74000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,
74000,76000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,BROADCASTING,BROADCASTING-SATELLITE,,,
76000,77500,RADIO ASTRONOMY,RADIOLOCATION,,,,,,
77500,78000,AMATEUR,AMATEUR-SATELLITE,RADIOLOCATION,,,,,
78000,79000,RADIOLOCATION,,,,,,,
79000,81000,RADIO ASTRONOMY,RADIOLOCATION,,,,,,
81000,84000,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),RADIO ASTRONOMY,,,
84000,86000,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,RADIO ASTRONOMY,,,,
86000,92000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
92000,94000,FIXED,MOBILE,RADIO ASTRONOMY,RADIOLOCATION,,,,
94000,94100,EARTH EXPLORATION-SATELLITE (ACTIVE),RADIOLOCATION,SPACE RESEARCH (ACTIVE),,,,,
94100,95000,FIXED,MOBILE,RADIO ASTRONOMY,RADIOLOCATION,,,,
95000,100000,FIXED,MOBILE,RADIO ASTRONOMY,RADIOLOCATION,RADIONAVIGATION,RADIONAVIGATION-SATELLITE,,
100000,102000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
102000,105000,FIXED,MOBILE,RADIO ASTRONOMY,,,,,
105000,109500,FIXED,MOBILE,RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,
109500,111800,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
111800,114250,FIXED,MOBILE,RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,
114250,116000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
116000,119980,EARTH EXPLORATION-SATELLITE (PASSIVE),INTER-SATELLITE,SPACE RESEARCH (PASSIVE),,,,,
119980,122250,EARTH EXPLORATION-SATELLITE (PASSIVE),INTER-SATELLITE,SPACE RESEARCH (PASSIVE),,,,,
122250,123000,FIXED,INTER-SATELLITE,MOBILE,,,,,
123000,130000,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE-SATELLITE (SPACE-TO-EARTH),RADIONAVIGATION,RADIONAVIGATION-SATELLITE,,,,
130000,134000,EARTH EXPLORATION-SATELLITE (ACTIVE),FIXED,INTER-SATELLITE,MOBILE,RADIO ASTRONOMY,,,
134000,136000,AMATEUR,AMATEUR-SATELLITE,,,,,,
136000,141000,RADIO ASTRONOMY,RADIOLOCATION,,,,,,
141000,148500,FIXED,MOBILE,RADIO ASTRONOMY,RADIOLOCATION,,,,
148500,151500,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
151500,155500,FIXED,MOBILE,RADIO ASTRONOMY,RADIOLOCATION,,,,
155500,158500,FIXED,MOBILE,RADIO ASTRONOMY,,,,,
158500,164000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,MOBILE-SATELLITE (SPACE-TO-EARTH),,,,
164000,167000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
167000,174500,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),INTER-SATELLITE,MOBILE,,,,
174500,174800,FIXED,INTER-SATELLITE,MOBILE,,,,,
174800,182000,EARTH EXPLORATION-SATELLITE (PASSIVE),INTER-SATELLITE,SPACE RESEARCH (PASSIVE),,,,,
182000,185000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
185000,190000,EARTH EXPLORATION-SATELLITE (PASSIVE),INTER-SATELLITE,SPACE RESEARCH (PASSIVE),,,,,
190000,191800,EARTH EXPLORATION-SATELLITE (PASSIVE),SPACE RESEARCH (PASSIVE),,,,,,
191800,200000,FIXED,INTER-SATELLITE,MOBILE,MOBILE-SATELLITE,RADIONAVIGATION,RADIONAVIGATION-SATELLITE,,
200000,209000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
209000,217000,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,RADIO ASTRONOMY,,,,
217000,226000,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,
226000,231500,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
231500,232000,FIXED,MOBILE,,,,,,
232000,235000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,,
235000,238000,FIXED-SATELLITE (SPACE-TO-EARTH),EARTH EXPLORATION-SATELLITE (PASSIVE),SPACE RESEARCH (PASSIVE),,,,,
238000,240000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,RADIOLOCATION,RADIONAVIGATION,RADIONAVIGATION-SATELLITE,,
240000,241000,FIXED,MOBILE,RADIOLOCATION,,,,,
241000,248000,RADIO ASTRONOMY,RADIOLOCATION,,,,,,
248000,250000,AMATEUR,AMATEUR-SATELLITE,,,,,,
250000,252000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
252000,265000,FIXED,MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),RADIO ASTRONOMY,RADIONAVIGATION,RADIONAVIGATION-SATELLITE,,
265000,275000,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,RADIO ASTRONOMY,,,,
275000,3.00E+06,,,,,,,,